week,km,start,end
1, 50.4, 2020-01-01, 2020-01-05
2, 5.11, 2020-01-06, 2020-01-12
3, 23.53, 2020-01-13, 2020-01-19
4, 40.75, 2020-01-20, 2020-01-26
5, 41.09, 2020-01-27, 2020-02-02
6, 35.85, 2020-02-03, 2020-02-09
7, 8.19, 2020-02-10, 2020-02-16
8, 10.10, 2020-02-17, 2020-02-23
9, 0, 2020-02-24, 2020-03-01
10, 0, 2020-03-02, 2020-03-08
11, 0, 2020-03-09, 2020-03-15
12, 6.33, 2020-03-16, 2020-03-22
13, 8.04, 2020-03-23, 2020-03-29
14, 10.01, 2020-03-30, 2020-04-05
15, 19.31, 2020-04-06, 2020-04-12
16, 18.97, 2020-04-13, 2020-04-19
17, 19.63, 2020-04-20, 2020-04-26
18, 5.56, 2020-04-27, 2020-05-03
19, 17.16, 2020-05-04, 2020-05-10
20, 45.92, 2020-05-11, 2020-05-17
21, 36.74, 2020-05-18, 2020-05-24
22, 34.15, 2020-05-25, 2020-05-31
23, 46.93, 2020-06-01, 2020-06-07
24, 47.48, 2020-06-08, 2020-06-14
25, 28.54, 2020-06-15, 2020-06-21
26, 16.88, 2020-06-22, 2020-06-28
27, 47.19, 2020-06-29, 2020-07-05
28,, 2020-07-06, 2020-07-12
29,, 2020-07-13, 2020-07-19
30,, 2020-07-20, 2020-07-26
31,, 2020-07-27, 2020-08-02
32,, 2020-08-03, 2020-08-09
33,, 2020-08-10, 2020-08-16
34,, 2020-08-17, 2020-08-23
35,, 2020-08-24, 2020-08-30
36,, 2020-08-31, 2020-09-06
37,, 2020-09-07, 2020-09-13
38,, 2020-09-14, 2020-09-20
39,, 2020-09-21, 2020-09-27
40,, 2020-09-28, 2020-10-04
41,, 2020-10-05, 2020-10-11
42,, 2020-10-12, 2020-10-18
43,, 2020-10-19, 2020-10-25
44,, 2020-10-26, 2020-11-01
45,, 2020-11-02, 2020-11-08
46,, 2020-11-09, 2020-11-15
47,, 2020-11-16, 2020-11-22
48,, 2020-11-23, 2020-11-29
49,, 2020-11-30, 2020-12-06
50,, 2020-12-07, 2020-12-13
51,, 2020-12-14, 2020-12-20
52,, 2020-12-21, 2020-12-27
53,, 2020-12-28, 2020-12-31
